;;;;x
GAM_ADJ;Gambia;x;;
GUB;Guinea-Bissau;x;;
GUB_ADJ;Guinea-Bissauan;x;;
BEN;Benin;x;;
BEN_ADJ;Beninese;x;;
SRL;Sierra Leone;x;;
SRL_ADJ;Sierra Leonese;x;;
TOG;Togo;x;;
TOG_ADJ;Togonese;x;;
GHA;Ghana;x;;
GHA_ADJ;Ghanan;x;;
FAT;Burkina Faso;x;;
FAT_ADJ;Burkina Fasoan;x;;
GUI;Guinea;x;;
GUI_ADJ;Guinean;x;;
LES;Lesotho;x;;
LES_ADJ;Lesothonian;x;;
SWZ;Swaziland;x;;
SWZ_ADJ;Swazilander;x;;
COM;Comoros;x;;
COM_ADJ;Comorosan;x;;
STP;Sao Tome & Principe;x;;
STP_ADJ;Sao Tome-Pricipean;x;;
BRD;Burundi;x;;
BRD_ADJ;Burundian;x;;
QAT;Qatar;x;;
QAT_ADJ;Qatari;x;;
BAH;Bahrain;x;;
BAH_ADJ;Bahraini;x;;
KUW;Kuwait;x;;
KUW_ADJ;Kuwaiti;x;;
ETM;East Timor;x;;
ETM_ADJ;East Timorian;x;;
PNG;Papua New Guinea;x;;
PNG_ADJ;Papua New Guinean;x;;
THC;The Thirteen Colonies;x;;
THC_ADJ;American;x;;
MLT;Malta;x;;
MLT_ADJ;Maltese;x;;
SCL;Sicily;x;;
SCL_ADJ;Sicilian;x;;
SDA;Sardinia;x;;
SDA_ADJ;Sardinian;x;;
COR;Corsica;x;;
COR_ADJ;Corsican;x;;
BRY;Brittany;x;;
BRY_ADJ;Breton;x;;
BSQ;The Basque Country;x;;
BSQ_ADJ;Basque;x;;
global_colonial_agitation;Global Colonial Agitation;x;;
BDB;Brandenburg;x;;
BDB_ADJ;Brandenburgian;x;;
PMR;Pomerania;x;;
PMR_ADJ;Pomeranian;x;;
MUN;Munster;x;;
MUN_ADJ;Munsterian;x;;
CLG;Cologne;x;;
CLG_ADJ;Cologne;x;;
TRR;Trier;x;;
TRR_ADJ;Trierian;x;;
LIE;Liege;x;;
LIE_ADJ;Liegian;x;;
CLV;Cleves;x;;
CLV_ADJ;Clevian;x;;
AAC;Aachen;x;;
AAC_ADJ;Aachenian;x;;
PLT;Palatinate;x;;
PLT_ADJ;Palatinate;x;;
SXL;Saxe-Lauenburg;x;;
SXL_ADJ;Saxe-Lauenburgian;x;;
LUN;Luneburg;x;;
LUN_ADJ;Luneburgian;x;;
WUZ;Wurzburg;x;;
WUZ_ADJ;Wurzburgian;x;;
ANS;Ansbach;x;;
ANS_ADJ;Ansbachian;x;;
AUG;Augsburg;x;;
AUG_ADJ;Augsburgian;x;;
ALS;Alsace;x;;
ALS_ADJ;Alsacian;x;;
LOR;Lorraine;x;;
LOR_ADJ;Lorrainian;x;;
GEN;Genoa;x;;
GEN_ADJ;Genoan;x;;
COA;United American Colonies;x;;
COA_ADJ;Colonial;x;;
COA_absolute_monarchy;Her Majesty's Royal American Colonies;x;;
COA_hms_goverment;Her Majesty's Royal American Colonies;x;;
COA_proletarian_dictatorship;Free People's Colonies of Britain;x;;
COA_presidential_dictatorship;American Colonies of Britain;x;;
WSX;Wessex;x;;
WSX_ADJ;Wessexian;x;;
ALA;Alabama;x;;
ALA_ADJ;Alabamian;x;;
MLD;The Maldives;x;;
MLD_ADJ;Maldivian;x;;
UIR;The United Islamic Republic;x;;
UIR_ADJ;Islamic;x;;
UIR_proletarian_dictatorship;The People's Islamic Republic;x;;
UIR_proletarian_dictatorship_ADJ;Islamic;x;;
KUR;Kurdistan;x;;
KUR_ADJ;Kurdish;x;;
PER_presidential_dictatorship;The Islamic Republic of Iran;x;;
WYA;Huron;x;;
WYA_ADJ;Huron;x;;
APC;Apache;x;;
APC_ADJ;Apache;x;;
SIX;Sioux;x;;
SIX_ADJ;Sioux;x;;
GRL;Greenland;x;;
GRL_ADJ;Greenlandic;x;;
FIJ;Fiji;x;;
FIJ_ADJ;Fijian;x;;
macedonian;Macedonian;x;;
MDR;Madurai;x;;
MDR_ADJ;Maduraijan;x;;
MRT;Maratha;x;;
MRT_ADJ;Maratha;x;;
MRT_absolute_monarchy;The Maratha Empire;x;;
GOL;Golconda;x;;
GOL_ADJ;Golcondan;x;;
GWD;Gondwana;x;;
GWD_ADJ;Gondwanan;x;;
BIJ;Bijapur;x;;
BIJ_ADJ;Bijapurian;x;;
CRK;Creek;x;;
CRK_ADJ;Creek;x;;
CMC;Comancheria;x;;
CMC_ADJ;Comanche;x;;
TST;Testland;x;;
TST_ADJ:Testlander;x;;;
RME;Rome;x;;
RME_ADJ;Roman;x;;
RME_absolute_monarchy;The Roman Empire;x;;
PRM;Rome;x;;
PRM_ADJ;Roman;x;;
PRM_absolute_monarchy;The Roman Empire;x;;
PSC;Norse Scandinavia;x;;
PSC_ADJ;Scandinavian;x;;
norse;Norse;x;;
roman;Greco-Roman;x;;
RHE;The Holy Roman Empire;x;;
RHE_ADJ;Imperial;x;;
form_united_kingdom_title;Form the United Kingdom;x;;
form_united_kingdom_desc;Being in control of Great Britain we can now unite this island.;x;;
UCS;The United American States;x;;
UCS_ADJ;UCS;x;;
breton;Breton;x;;
SAV;Savoy;x;;
SAV_ADJ;Savoyan;x;;
PIR;Pirates;x;;
PIR_ADJ;Pirate;x;;
BIH;Bihar;x;;
BIH_ADJ;Bihari;x;;
ASS;Assam;x;;
ASS_ADJ;Assamese;x;;
WSX;Wessex;x;;
AAC_ADJ;Wessexer;x;;
SSX;Sussex;x;;
SSX_ADJ;Sussexer;x;;
NRT;Northumbria;x;;
NRT_ADJ;Northumbrian;x;;
CRN;Cornwall;x;;
CRN_ADJ;Cornish;x;;
kashubian;Kashubian;x;;
french_second_empire;Constitutional Monarchy;x;;
FRA_french_second_empire;The Second Empire;x;;
french_second_empire1_title;The Second Empire;x;;
french_second_empire1_desc;"After Napoleon III's coup he reformed the government into the shape of Napoleon I's French Empire. Although the machinery of government was almost the same under the Second Empire as it had been under the First, its founding principles were different. The function of the Empire, as Emperor Napoleon III often repeated, was to guide the people internally towards justice and externally towards perpetual peace. Holding his power by universal male suffrage, and having frequently, from his prison or in exile, reproached previous oligarchical governments with neglecting social questions, he set out to solve them by organising a system of government based on the principles of the ""Napoleonic Idea"", i.e. of the emperor, the elect of the people as the representative of the democracy, and as such supreme; and of himself, the representative of the great Napoleon I of France, ""who had sprung armed from the French Revolution like Minerva from the head of Jove"", as the guardian of the social gains of the revolutionary period.";x;;
SYC;Seychelles;x;;
SYC_ADJ;Seychellois;x;;
SLA;Slavic Union;x;;
SLA_ADJ;Slavic;x;;
SLA_proletarian_dictatorship;People's Republic of Slavs;x;;
SLA_proletarian_dictatorship_ADJ;Slavic;x;;
SLA_absolute_monarchy;Slavic Empire;x;;
SLA_absolute_monarchy_ADJ;Slavic;x;;
SLA_absolute_monarchy;Slavic Empire;x;;
SLA_absolute_monarchy_ADJ;Slavic;x;;
SLA_prussian_constitutionalism;Slavic Kingdom;x;;
SLA_prussian_constitutionalism_ADJ;Slavic;x;;
SLA_hms_government;Slavic Kingdom;x;;
SLA_hms_government_ADJ;Slavic;x;;
SLA_democracy;United Federation of Slavs;x;;
SLA_democracy_ADJ;Slavic;x;;
RYU;Ryukyu;x;;
RYU_ADJ;Ryukyu;x;;
RYU_fascist_dictatorship;Three Mountains;x;;
RYU_fascist_dictatorship_ADJ;Ryukyu;x;;
;;;;x
