post_napoleonic_thought;Post-Napoleonic Thought;Pensée post-napoléonienne;Postnapoleonischer Gedanke;;Pensamiento post-napoleónico;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
medium_artillery;Medium Artillery;Artillerie moyenne;Mittlere Artillerie;;Artillería de mediano calibre;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
medium_artillery_desc;Coming out of the mold of traditional artillery, combined with the experiences of the Great War and the rapid increase in motorisation, the medium artillery gun was developed. Of modest calibers, these guns were the standard for regular infantry units, providing them with a greater fire power capability and mobility that they had previously lacked.;Au sortir du moule traditionnel de l'artillerie, combin?avec les expériences de la Grande Guerre et l'augmentation rapide de la motorisation, le canon d'artillerie moyenne a ét?développ? De calibres modestes, ces armes ont ét?la norme pour les unités d'infanterie, en leur fournissant une capacit?en puissance de feu accrue et la mobilit?dont elles manquaient jusqu'alors.;Mittlere Geschütze wurden basierend auf herkömmlicher Artillerie hergestellt, wobei man auf die Erfahrungen des ersten Weltkriegs und die rapide fortschreitende Motorisierung baute. Diese Geschütze hatten mittlere Kaliber und waren der Geschützstandard für reguläre Infanterieeinheiten, denen sie bessere und mobilere Feuerunterstützung boten.;;La artillería de mediano calibre surgi?del molde de la artillería tradicional, con aportaciones surgidas de las experiencias de la Gran Guerra y el rápido crecimiento de la motorización. De modesto calibre, estos cañones conformaban el estándar para la infantería regular, a la que proporcionaban una movilidad y una potencia de fuego mayores que nunca.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
heavy_artillery;Heavy Artillery;Artillerie lourde;Schwere Artillerie;;Artillería pesada;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
heavy_artillery_desc;Monsters of the battlefield, these heavy guns were the long-range threats feared by infantrymen everywhere. Large caliber guns that could be placed well behind the front lines, they could support multiple operations within their range.;Les monstres du champ de bataille, ces armes lourdes ont ét?les menaces ?longue portée des fantassins partout sur le terrain. Des canons de gros calibre qui pouvaient être placés loin derrière les lignes de front, ils pouvaient ainsi appuyer des opérations multiples ?distance. ;Diese Monster des Schlachtfelds waren die Langstreckenbedrohung, vor der sich jeder Infanterist fürchtete. Diese großkalibrigen Geschütze konnten weit hinter der Front stationiert werden und von dort aus Operationen innerhalb ihrer Schussreichweite unterstützen.;;Monstruos del campo de batalla, estos cañones pesados eran la amenaza más temida para la infantería de todas partes del mundo. Estas piezas de gran calibre se podían colocar muy lejos del frente, desde donde podían apoyar numerosas operaciones.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
military_staff_system;Military Staff System;Système d'état-major;Militärstabssystem;;Sist. Estado Mayor mil.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
military_staff_system_desc;Military Staff System;Système d'état-major;Militärstabssystem;;Sist. Estado Mayor mil.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
military_plans;Military Plans;Plans de campagne;Militärpläne;;Planes militares;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
military_plans_desc;Military Plans;Plans de campagne;Militärpläne;;Planes militares;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
telegraph_coordination;Telegraph Coordination;Coordination télégraphique;Telegrafische Koordination;;Coordinación telegráfica;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
telegraph_coordination_desc;By coordinating units by communicating and sending orders by telegraph, the operational speed of units and decision-making increased vastly.;En utilisant le télégraphe pour communiquer et transmettre les ordres nécessaires pour assurer la coordination des unités, leur rapidit?opérationnelle de même que la prise de décisions a ét?grandement améliorée.;Durch die Koordination von Einheiten mittels telegrafischer Befehlsübermittlung beschleunigte sich deren Operationsgeschwindigkeit und Entscheidungsfindung beträchtlich.;;Gracias a la coordinación de unidades a través de la comunicación y envío de órdenes vía telegráfica, aument?enormemente la velocidad operativa de las unidades y la toma de decisiones.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mobilization_time_tables;Mobilization Time Tables;Calendrier de mobilisation;Mobilmachungszeitpläne;;Programación de la movilización;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mobilization_time_tables_desc;By pre-planning mobilization, all reserve units had set mobilization areas and time tables for getting equipment, boarding trains, and frontal marching routes. This sped up the mobilization vastly.;La préparation de la mobilisation a permis d'établir, pour les unités de réserve, des lieux précis de rassemblement, des horaires de chargement des trains de matériel et des ordres de marche vers le front. Cela a accélér?considérablement la mobilisation.;Durch die Vorausplanung der Mobilmachung verfügten alle Reserveeinheiten über vorbestimmte Mobilisierungsbereiche, Zeitpläne für Ausrüstungsaufnahme und Zugtransport sowie Marschrouten zur Front. Dies beschleunigte die Mobilmachung erheblich.;;Planeando la movilización con antelación, todas las unidades de reserva tenían establecidos lugares de movilización especiales y horarios para coger los trenes de equipamiento y las rutas de marcha al frente, lo que aceleraba la movilización considerablemente.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
personnel_category_tables;Personnel Category Tables;Listes de catégories d'effectifs;Personalkategorietabellen;;Tablas categoría de personal;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
personnel_category_tables_desc;These tables categorized tasks, position, etc. so that it was easy in peace time to place personnel into combat formations. During mobilization the process was sped up as it was easy to know which soldier was to go to what company.;Ces listes de catégories d'effectifs, position, etc, de sorte qu'il était facile en temps de paix de placer le personnel dans des formations au combat. En cours de mobilisation, le processus était accélér?car il était facile de savoir qui avait ét?soldat pour l'envoyer dans telle compagnie. ;Diese Tabellen kategorisierten Aufgaben, Positionen usw., so dass es in Friedenszeiten einfach war, Personal in Kampfformationen einzugliedern. Dies beschleunigte die Mobilmachung, da leicht festzustellen war, welcher Soldat in welche Kompanie gehörte.;;Estas tablas clasificaban las tareas, posición, etc., de modo que, en tiempos de paz, era fácil situar al personal en formaciones de combate. Durante la movilización, el proceso se aceleraba, ya que resultaba sencillo establecer qu?soldado tenía que ir a qu?compañía.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
military_statistics;Military Statistics;Statistiques militaires;Militärstatistiken;;Estadística militar;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
military_statistics_desc;Military Statistics;Statistiques militaires;Militärstatistiken;;Estadística militar;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ammunition_area_effect_calculations;Ammunition Area Effect Calculations;Calcul des zones d'effet des munitions;Bereichsseffekt-Munitionsberechnungen;;Cálculos área de efecto de munición;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ammunition_area_effect_calculations_desc;By making statistical standard measurements of how much ammunition was needed to give the right effect against a predefined size of enemy unit in a predefined square area, combat became more cost efficient.;En établissant des mesures statistiques standard sur le nombre de munitions nécessaire pour produire l'effet voulu sur un dispositif ennemi de taille donnée dans un espace de combat donn? on a pu baisser le coût des opérations militaires.;Durch die Anstellung statistischer Standardberechnungen, wie viel Munition benötigt wird, um gegen eine feindliche Einheit mit vorbestimmter Stärke in einem vorbestimmten Gefechtsquadrat den gewünschten Effekt zu erzielen, konnten Gefechte kosteneffizienter gestaltet werden.;;Al hacer mediciones estadísticas estándar de la cantidad de munición necesaria para obtener el efecto deseado contra una unidad enemiga de tamaño predeterminado en una zona también predefinida, el combate se hizo más eficiente en cuanto a costes.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
empirical_combat_efficiency_matrix;Empirical Combat Efficiency Matrix;Tableau empirique sur l'efficacit?au combat;Empirische Kampfeffizienzmatrix;;Matriz empírica eficacia en combate;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
empirical_combat_efficiency_matrix_desc;By checking certain attributes as morale, how well feed the soldiers were, illnesses and wounds, it was possible to check in advance how efficient the unit would fight in the upcoming combat.;En tenant compte de certaines données telles que le moral, l'alimentation des soldats, les maladies et les blessures, il était possible de prévoir l'efficacit?des troupes lors d'un prochain combat.;Durch die Überprüfung bestimmter Attribute wie Moral, Ernährungsstand der Soldaten, Krankheiten und Verwundungen wurde es möglich, abzuschätzen, wie effizient sich eine bestimmte Einheit in einem bevorstehenden Gefecht schlagen würde.;;Mediante el examen de determinados atributos como la moral, la buena alimentación de los soldados, las enfermedades y las heridas, era posible comprobar con antelación lo eficazmente que podría luchar una unidad en un futuro combate.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
combat_loss_evaluation_schemata;Combat Loss Evaluation Schemata;Schéma d'évaluation des pertes;Gefechtsverlust-Evaluierungsschemata;;Esq. evaluac. pérdidas en combate;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
combat_loss_evaluation_schemata_desc;By counting losses on both sides and turning the figures into a matrix, it was possible to estimate losses in an upcoming combat in advance.;En comptant les pertes des deux camps et en dressant un tableau de données, il était possible d'estimer ?l'avance les pertes lors d'un prochain combat.;Durch die Ermittlung der Verluste beider Seiten und die Eingabe der Zahlen in einer Matrix konnten die Verluste in einem bevorstehenden Gefecht abgeschätzt werden.;;Mediante el cómputo de pérdidas en ambos bandos y la introducción de los resultados en una matriz, era posible estimar por adelantado las pérdidas de un futuro combate.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
military_logistics;Military Logistics;Logistique militaire;Militärlogistik;;Logística militar;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
military_logistics_desc;Military Logistics;Logistique militaire;Militärlogistik;;Logística militar;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pre_planned_depot_systems;Pre-planned Depot Systems;Réseau de dépôts prédéfinis;Vorausgeplante Depotsysteme;;Sist. depósito anticipados;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pre_planned_depot_systems_desc;By planning a system of depots in peace time, set in a chain, these could be turned into focus points of the supply flow in war.;En planifiant, en temps de paix, un réseau de dépôts organisés en chaîne, ces derniers pouvaient servir de bases logistiques au cours de la guerre.;Zu Friedenszeiten gebaute, kettenförmig angeordnete Depotsysteme konnten als zentrale Unterstützungszentren für die kämpfende Truppe fungieren.;;La planificación de un sistema de depósitos en tiempos de paz, establecidos en cadena, podían convertirlos en puntos centrales del flujo de suministros durante una guerra.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
logistical_calculations;Logistical Calculations;Calculs logistiques;Logistische Berechnungen;;Cálculos logísticos;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
logistical_calculations_desc;These standard measurements of how much supplies and reinforcements a standard unit needed during a defined time period made it easier to plan for a war.;Ces mesures standard, sur les quantités de ravitaillement et de renforts nécessaires ?une unit?type pour une période donnée, permettaient de préparer plus facilement les guerres.;Diese Berechnungen, wie viel Nachschub und Verstärkung eine Standardeinheit über einen gewissen Zeitraum benötigt, vereinfachten die Kriegsplanungen.;;Estas mediciones habituales de cuántos suministros y refuerzos necesitaba una unidad normal durante un periodo de tiempo concreto facilitaron la planificación de la guerra.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
replenishment_transport_organisation;Replenishment Transport Organisation;Organisation du transport logistique;Nachschub-Transportorganisation;;Organiz. Transp. reaprovisionamiento;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
replenishment_transport_organisation_desc;Depots were focus points for the wartime supply system, but a replenishment transport organization was needed to get bullets and toilet paper out to the men.;Les dépôts étaient les points clés du système logistique en temps de guerre. Mais il était nécessaire d'organiser le transport afin que les hommes disposent en temps voulu des munitions et du papier-toilette.;Depots waren die Hauptstütze des Nachschubsystems zu Kriegszeiten, doch um Patronen, Toilettenpapier und andere Dinge zu den Soldaten zu bringen, war eine Nachschub-Transportorganisation unumgänglich.;;Los depósitos eran puntos centrales en el sistema de suministros en tiempos de guerra, pero era necesaria una organización del transporte de reabastecimiento para hacer llegar a los hombres la munición y el papel higiénico.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
military_directionism;Military Directionism;Directivisme militaire;Militärischer Direktionsmus;;Dirigismo militar;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
military_directionism_desc;Military Directionism;Directivisme militaire;Militärischer Direktionsmus;;Dirigismo militar;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_political_lobbying;Political Lobbying;Lobby politique;Politische Lobbyarbeit;;Presión política;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_political_lobbying_desc;By having high ranking officers attending politicians and being experts in defense commissions, the Army could easily have a strong influence over the political decisions concerning the defense and the security policy.;Mettre en place des officiers de haut rang auprès des politiciens et dans les commissions de la défense a permis ?l'armée d'influer lourdement sur les décisions politiques concernant la défense et la sécurit?nationale.;Durch den Kontakt hochrangiger Offiziere mit Politikern und Experten im Umgang mit Verteidigungsausschüssen aus den eigenen Reihen konnte die Armee mit Leichtigkeit starken Einfluss auf politische Entscheidungen bezüglich Verteidigungsfragen und Sicherheitspolitik ausüben.;;Que hubiera oficiales de rango superior atendiendo a los políticos y expertos en las comisiones de defensa, etc., facilitaba que el Ejército pudiera influir poderosamente en decisiones relativas a las políticas de defensa y seguridad.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_military_political_decision_making;Military-Political Decision-making;Prise de décision politico-militaire;Militärisch-politische Entscheidungsfindung;;Toma decisiones político-militares;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_military_political_decision_making_desc;In wartime an influential Army that had lobbied for their cause for a long time could get full control not only over the execution of the war, but also over the resource management of the country. This could basically be called a Military Dictatorship governed by the General Staff.;En temps de guerre, une armée influente qui a fait pression pour sa cause, depuis une longue période, peut avoir le contrôle complet, non seulement sur l'exécution de la guerre, mais aussi sur la gestion des ressources du pays. Cela pourrait en fait être appel?une dictature militaire régie par l'état-major général des armées. ;Zu Kriegszeiten konnte eine einflussreiche Armee, die für ihre Sache lange Zeit Lobbyarbeit geleistet hatte, nicht nur die völlige Kontrolle über die Kriegsführung übernehmen, sondern auch über die Ressourcenverwaltung des Landes. Dies konnte im Grunde eine Militärdiktatur unter Führung des Generalstabs genannt werden.;;En tiempos de guerra, un Ejército influyente que hubiera presionado por sus intereses durante largo tiempo, podría conseguir un control absoluto no sólo de la ejecución de la guerra, sino de toda la gestión de los recursos del país. A esto se le podría llamar básicamente 'dictadura militar', dirigida por el Estado Mayor.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_local_military_government;Local Military Government;Administration militaire locale;Lokale Militärregierung;;Gobierno militar local;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_local_military_government_desc;In a highly militarized society, or a normal society in war, often not only military-civilian cooperation boards on a local level were needed, but sometimes most of the local government could be appointed officers as well. This meant not only a strong military control, but also that the power of the Army increased disproportionally in comparison to other governmental agencies.;Dans une sociét?fortement militarisée, ou une sociét?normale en guerre, il est souvent nécessaire, non seulement d'avoir la coopération civilo-militaire au niveau local, mais parfois d'avoir dans l'administration locale des officiers en poste. Cela signifie non seulement un fort contrôle militaire, mais aussi que la puissance de l'Armée peut augmenter de manière disproportionnée par rapport ?d'autres agences gouvernementales. ;In einer stark militarisierten Gesellschaft bzw. einer normalen Gesellschaft im Krieg wurden militärisch-zivile Kooperationsausschüsse nicht nur auf lokaler Ebene benötigt - manchmal bestanden lokale Regierungen sogar fast ausschließlich aus Offizieren. Dies bedeutete nicht nur starke militärische Kontrolle, sondern auch, dass die Macht der Armee unproportional größer war als die anderer behördlicher Einrichtungen.;;En una sociedad fuertemente militarizada, o en una sociedad normal en guerra, a menudo eran necesarias no sólo juntas de cooperación entre militares y civiles a nivel local, a veces, los oficiales también nombraban a la mayoría de gobiernos locales. Esto suponía un fuerte control militar, pero también que el poder del ejército aumentaba desproporcionadamente en comparación al de los organismos gubernamentales.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aeronautics;Aeronautics;Aéronautique;Luftfahrt;;Aeronáutica;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aeronautics_desc;Aeronautics;Aéronautique;Luftfahrt;;Aeronáutica;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
early_interwar_bombers;Early Interwar Bombers;Premiers bombardiers de l'entre-deux-guerres;Früher Zwischenkriegsbomber;;Bombarderos entreguerras primitivos;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
early_interwar_bombers_desc;Beginning with the first pilot to drop a grenade on his enemy, the use of aircraft to deliver munitions to the enemy was acknowledged to be of great tactical and strategic value. To enhance and expand this ability, dedicated bomber aircraft were developed.;Après qu'un premier pilote ait largu?une grenade sur son ennemi, l'utilisation de l'aviation s'est avérée être un grand atout tactique et stratégique. Pour améliorer et développer cette capacit? des bombardiers ont ét?mis au point.;Seit der erste Pilot eine Granate über dem Feind abgeworfen hatte, wurde man sich mehr und mehr über den enormen taktischen und strategischen Wert der Bekämpfung des Feindes aus der Luft bewusst. Zur Erweiterung und Verbesserung dieser Fähigkeit wurden spezialisierte Bomber entwickelt.;;Desde el primer piloto que dej?caer una granada sobre el enemigo, el uso de la aviación para soltar bombas sobre el enemigo se consolid?como una realidad de gran valor táctico y estratégico. Para mejorar y expandir esta capacidad, se desarrollaron los bombarderos.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
late_interwar_bombers;Late Interwar Bombers;Derniers bombardiers de l'entre-deux-guerres;Späte Zwischenkriegsbomber;;Bombarderos de entreguerras tardíos;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
late_interwar_bombers_desc;Advances in aircraft design, improvements to construction, and improved aircraft engines greatly enhanced the abilities of bombers to accomplish thier missions. Increased range, greater payloads, and better armoring all made bombers a much greater threat to combatant nations.;Les progrès dans la conception des avions, les améliorations en construction, les moteurs d'avion plus puissants, tout cela étend considérablement les capacités des bombardiers ?accomplir leurs missions. L'augmentation de la portée, une plus grande charge utile, et une meilleure armure, concourent ?faire des bombardiers une menace toujours plus grande pour les pays combattants.;Fortschritte in den Bereichen Flugzeugdesign, Flugzeugbau und Flugzeugmotoren verbesserten die Fähigkeiten von Bombern erheblich. Größere Reichweite, Nutzlast und Panzerung machten Bomber für alle kriegführenden Nationen zu viel größeren Bedrohungen als zuvor.;;Los avances en el diseño de los aviones, las mejoras en la construcción y el perfeccionamiento de los motores mejor?en gran medida la capacidad de los bombarderos de cumplir con su misión. El aumento del alcance, la carga útil y el blindaje convirti?a los bombarderos en una amenaza mucho mayor para los países combatientes.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
early_interwar_fighters;Early Interwar Fighters;Premiers chasseurs de l'entre-deux-guerres;Frühe Zwischenkriegsjäger;;Cazas de entreguerras primitivos;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
early_interwar_fighters_desc;The concept of denying the enemy access to the air above one's army was discovered early in the budding air war. Aircraft whose sole role was to engage and eliminate enemy aircraft found their use well before their bomber cousins.;Le concept de dénier le droit ?l'ennemi d'accéder au ciel au-dessus de son armée a ét?découvert au début balbutiant de la guerre aérienne. Les aéronefs dont le seul rôle était d'engag?et d'élimin?les avions ennemis ont trouv?leur usage bien avant leurs cousins bombardiers. ;Das Konzept, dem Feind den Zugang zum Luftraum über der eigenen Armee zu verwehren, wurde schon früh zu Beginn des aufkommenden Luftkriegs entdeckt. Flugzeuge, deren einzige Aufgabe darin bestand, feindliche Flugzeuge abzuschießen, waren schon einige Zeit vor den Bombern im Einsatz.;;La idea de impedir que el enemigo accediera al cielo sobre las propias fuerzas apareci?desde los primeros momentos de la guerra aérea. Los aviones cuya única función era interceptar y eliminar a la aviación enemiga comenzaron a usarse mucho antes que los bombarderos.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
late_interwar_fighters;Late Interwar Fighters;Derniers chasseurs de l'entre-deux-guerres;Späte Zwischenkriegsjäger;;Cazas de entreguerras tardíos;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
late_interwar_fighters_desc;In a never ending cycle, advances in one area led directly to advances in other areas. Dedicated fighter aircraft, whose role is to engage enemy aircraft, gained advantages from the same sources as bombers, and in response to advances in bomber aircraft. New engines, better designs, improved sights and improved guns, made these fighters among the deadliest things in the air.;Dans un cycle sans fin, les progrès dans un domaine ont men?directement ?des progrès dans d'autres secteurs. Les avions de combat dédiés, dont le rôle est d'engag?les avions ennemis, ont acquis des avantages provenant des avancées des avions bombardiers. Les nouveaux moteurs, des meilleures conceptions, des viseurs améliorés, et des armes plus performantes, ont fait des chasseurs les plus meurtrières des choses en l'air.;Technologische Fortschritte in einem Bereich führten in einer niemals endenden Spirale direkt zu Fortschritten in anderen Bereichen. Spezialisierte Jagdflugzeuge, deren Aufgabe die Bekämpfung feindlicher Flugzeuge war, profitierten von technologischen Fortschritten bei der Bomberentwicklung - auch, um mit deren Entwicklung mithalten zu können. Neue Motoren, verbesserte Designs, Zielvorrichtungen und Kanonen machten diese Jäger zu den tödlichsten Flugzeugen überhaupt.;;En un ciclo interminable, los avances en un área bélica llevaban de inmediato a avances en otro. Los aviones especializados en atacar a la aviación enemiga se beneficiaron de las mismas ventajas que los bombarderos, como respuesta al desarrollo de estos. Nuevos motores, mejores diseños, miras mejoradas y cañones más potentes convirtieron a los cazas en los auténticos depredadores del aire.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
t_air_superiority;Air Superiority;Supériorit?aérienne;Luftüberlegenheit;;Superioridad aérea;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
t_air_superiority_desc;With the advent of aircraft, it was not long until the question arose of how they could be used in wartime. At first their primary use was for reconnaissance, but soon thereafter aircraft began to be used to bomb military targets, and to shoot down other aircraft. New ideas and concept had to thus be evolved in order to best utilize this new military weapon.;Avec l'arrivée des avions, il ne fallut pas longtemps avant que la question ne se pose de savoir comment ils pourraient être utilisés en temps de guerre. Au début, leur utilisation primaire a ét?pour la reconnaissance, mais peu après, des avions ont commenc??être utilisés pour bombarder des cibles militaires, et abattre d'autres avions. De nouvelles idées et le concept devaient donc évoluer afin d'utiliser au mieux cette nouvelle arme militaire. ;Nicht lange nach der Erfindung des Flugzeugs kam die Frage auf, wie sie zu Kriegszeiten eingesetzt werden könnten. Anfänglich wurden sie militärisch vor allem für Aufklärungszwecke eingesetzt, doch schon bald bombardierten Flugzeuge militärische Ziele oder schossen andere Flugzeuge ab. Zum besten Einsatz dieser neuen Waffe mussten also neue Ideen und Konzepte entwickelt werden.;;Tras la aparición de la aviación, no tard?mucho en plantearse la pregunta de cómo se podía utilizar en tiempo de guerra. Al principio se utilizaron en misiones de reconocimiento, pero al poco tiempo los aviones comenzaron a utilizarse para bombardear objetivos militares y derribar aviones enemigos. Para sacar el máximo partido a esta nueva arma de guerra hubo que desarrollar nuevos conceptos e ideas.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flying_circus_doctrine;Flying Circus Doctrine;Doctrine du cirque volant;Staffelformationsdoktrin;;Doctrina circo volador;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flying_circus_doctrine_desc;As the interception and destruction of enemy aircraft by friendly fighters became increasingly important, military leaders soon came to realize that fighters worked best when working together as a group, so they could support each other and increase the chances both of survival and successful interceptions.;Comme l'interception et la destruction des avions ennemis par les chasseurs sont devenues de plus en plus importantes, les chefs militaires ont vite compris que les chasseurs fonctionnaient bien mieux lorsqu'ils travaillaient ensemble en tant que groupe, afin qu'ils puissent se soutenir mutuellement et augmenter ?la fois les chances de survie et la réussite des interceptions.;Als das Abfangen und Vernichten feindlicher Flugzeuge durch eigene Flugzeuge zunehmend wichtiger wurde, erkannten Militärführer schon bald, dass Jagdflugzeuge am besten als Gruppe funktionierten. Durch die gegenseitige Unterstützung erhöhten sich ihre Überlebenschancen und die Erfolgswahrscheinlichkeit der ausgeführten Missionen.;;A medida que aumentaba la importancia de la destrucción de los aviones enemigos, los líderes militares comenzaron a darse cuenta de que los cazas eran más eficaces cuando operaban como grupo para poder apoyarse unos a otros y aumentar las probabilidades, tanto de sobrevivir como de interceptar con éxito al enemigo.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
force_substitution_doctrine;Force Substitution Doctrine;Doctrine de substitution des forces;Staffelformationsdoktrin;;Doctrina de sustitución de fuerza;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
force_substitution_doctrine_desc;As air combat became increasingly frequent, it became important to rotate aircraft and crews through the frontlines air bases, so as to avoid exhaustion. Rotation allowed for the most capable pilots to be at the front, thus increasing the odds of success.;Comme les combats aériens sont devenus de plus en plus fréquents, il devenait important de faire tourner les avions et les équipages dans les bases aériennes de premières lignes, de manière ?éviter l'épuisement. D'ou la rotation autorisée pour les pilotes les plus capables d'être ?l'avant, augmentant ainsi les chances de succès. ;Als die Luftkämpfe an Häufigkeit immer mehr zunahmen, wurde die Rotation von Flugzeugbesatzungen und Bodenmannschaften durch Luftstützpunkte an der Front zur Vermeidung von Erschöpfung zunehmend wichtiger. Aufgrund der Rotation konnten die fähigsten Piloten an der Front stationiert werden, was die Erfolgschancen erhöhte.;;A medida que los combates aéreos aumentaban en frecuencia, se hizo cada vez más importante que los aviones y los pilotos pudieran rotar en el campo de batalla para evitar el agotamiento. La rotación permitía que los pilotos más capaces estuvieran en el frente, lo que multiplicaba sus probabilidades de éxito.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
battlefield_destruction_doctrine;Battlefield Destruction Doctrine;Doctrine de destruction du champ de bataille;Schlachtfeldzerstörungsdoktrin;;Doctrina de la destrucción del campo de batalla;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
battlefield_destruction_doctrine_desc;Battlefield destruction called for airpower to focus on the bombing of frontline enemy military units, in close co-operation with friendly assaults launched against those enemy units.;La destruction du champ de bataille impliquait que la puissance aérienne se concentre sur le bombardement des unités militaires ennemies du front, ainsi qu'une coopération étroite avec les assauts alliés lancés contre ces mêmes unités ennemies.;Die Schlachtfeldzerstörungsdoktrin forderte die Fokussierung auf die Bombardierung feindlicher Fronteinheiten in enger Kooperation mit Bodenangriffen gegen dieselben Einheiten.;;La doctrina de la destrucción del campo de batalla exigía el uso de la fuerza aérea para bombardear las unidades militares enemigas del frente, en estrecha colaboración con asaltos de unidades enemigas.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
